,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Year,Value,Notes,Continent
28,Albania,2010,Female,Not applicable,Percent,2.1144,2008,95.9,,Europe
29,Albania,2010,Female,Not applicable,Percent,2.1144,2001,98.7,,Europe
30,Albania,2010,All genders,Not applicable,Percent,2.13564,2011,96.8,,Europe
31,Albania,2010,All genders,Not applicable,Percent,2.13564,2008,95.9,,Europe
32,Albania,2010,All genders,Not applicable,Percent,2.13564,2001,98.7,,Europe
33,Albania,2010,Male,Not applicable,Percent,2.1622,2011,96.8,,Europe
34,Albania,2010,Male,Not applicable,Percent,2.1622,2008,95.9,,Europe
35,Albania,2010,Male,Not applicable,Percent,2.1622,2001,98.7,,Europe
36,Albania,2009,Male,Not applicable,Percent,4.93433,2011,96.8,,Europe
37,Albania,2009,Male,Not applicable,Percent,4.93433,2008,95.9,,Europe
38,Albania,2009,Male,Not applicable,Percent,4.93433,2001,98.7,,Europe
39,Albania,2009,All genders,Not applicable,Percent,4.7712900000000005,2011,96.8,,Europe
40,Albania,2009,All genders,Not applicable,Percent,4.7712900000000005,2008,95.9,,Europe
41,Albania,2009,All genders,Not applicable,Percent,4.7712900000000005,2001,98.7,,Europe
42,Albania,2009,Female,Not applicable,Percent,4.55744,2011,96.8,,Europe
43,Albania,2009,Female,Not applicable,Percent,4.55744,2008,95.9,,Europe
44,Albania,2009,Female,Not applicable,Percent,4.55744,2001,98.7,,Europe
45,Albania,2008,Female,Not applicable,Percent,5.61175,2011,96.8,,Europe
46,Albania,2008,Female,Not applicable,Percent,5.61175,2008,95.9,,Europe
47,Albania,2008,Female,Not applicable,Percent,5.61175,2001,98.7,,Europe
48,Albania,2008,All genders,Not applicable,Percent,6.2376,2011,96.8,,Europe
49,Albania,2008,All genders,Not applicable,Percent,6.2376,2008,95.9,,Europe
50,Albania,2008,All genders,Not applicable,Percent,6.2376,2001,98.7,,Europe
51,Albania,2008,Male,Not applicable,Percent,6.8103,2011,96.8,,Europe
52,Albania,2008,Male,Not applicable,Percent,6.8103,2008,95.9,,Europe
53,Albania,2008,Male,Not applicable,Percent,6.8103,2001,98.7,,Europe
54,Albania,2007,Male,Not applicable,Percent,6.49504,2011,96.8,,Europe
55,Albania,2007,Male,Not applicable,Percent,6.49504,2008,95.9,,Europe
56,Albania,2007,Male,Not applicable,Percent,6.49504,2001,98.7,,Europe
57,Albania,2007,All genders,Not applicable,Percent,6.56252,2011,96.8,,Europe
58,Albania,2007,All genders,Not applicable,Percent,6.56252,2008,95.9,,Europe
59,Albania,2007,All genders,Not applicable,Percent,6.56252,2001,98.7,,Europe
60,Albania,2007,Female,Not applicable,Percent,6.635739999999999,2011,96.8,,Europe
61,Albania,2007,Female,Not applicable,Percent,6.635739999999999,2008,95.9,,Europe
62,Albania,2007,Female,Not applicable,Percent,6.635739999999999,2001,98.7,,Europe
63,Albania,2006,Female,Not applicable,Percent,4.64175,2011,96.8,,Europe
64,Albania,2006,Female,Not applicable,Percent,4.64175,2008,95.9,,Europe
65,Albania,2006,Female,Not applicable,Percent,4.64175,2001,98.7,,Europe
66,Albania,2006,Male,Not applicable,Percent,7.368589999999999,2011,96.8,,Europe
67,Albania,2006,Male,Not applicable,Percent,7.368589999999999,2008,95.9,,Europe
68,Albania,2006,Male,Not applicable,Percent,7.368589999999999,2001,98.7,,Europe
69,Albania,2006,All genders,Not applicable,Percent,6.066319999999999,2011,96.8,,Europe
70,Albania,2006,All genders,Not applicable,Percent,6.066319999999999,2008,95.9,,Europe
71,Albania,2006,All genders,Not applicable,Percent,6.066319999999999,2001,98.7,,Europe
72,Albania,2003,All genders,Not applicable,Percent,10.071019999999999,2011,96.8,,Europe
73,Albania,2003,All genders,Not applicable,Percent,10.071019999999999,2008,95.9,,Europe
74,Albania,2003,All genders,Not applicable,Percent,10.071019999999999,2001,98.7,,Europe
75,Albania,2003,Male,Not applicable,Percent,11.27497,2011,96.8,,Europe
76,Albania,2003,Male,Not applicable,Percent,11.27497,2008,95.9,,Europe
77,Albania,2003,Male,Not applicable,Percent,11.27497,2001,98.7,,Europe
78,Albania,2003,Female,Not applicable,Percent,8.76825,2011,96.8,,Europe
79,Albania,2003,Female,Not applicable,Percent,8.76825,2008,95.9,,Europe
80,Albania,2003,Female,Not applicable,Percent,8.76825,2001,98.7,,Europe
81,Albania,2000,Female,Not applicable,Percent,6.567810000000001,2011,96.8,,Europe
82,Albania,2000,Female,Not applicable,Percent,6.567810000000001,2008,95.9,,Europe
83,Albania,2000,Female,Not applicable,Percent,6.567810000000001,2001,98.7,,Europe
84,Albania,2000,Male,Not applicable,Percent,13.885420000000002,2011,96.8,,Europe
85,Albania,2000,Male,Not applicable,Percent,13.885420000000002,2008,95.9,,Europe
86,Albania,2000,Male,Not applicable,Percent,13.885420000000002,2001,98.7,,Europe
87,Albania,2000,All genders,Not applicable,Percent,10.38862,2011,96.8,,Europe
88,Albania,2000,All genders,Not applicable,Percent,10.38862,2008,95.9,,Europe
89,Albania,2000,All genders,Not applicable,Percent,10.38862,2001,98.7,,Europe
90,Algeria,2013,Male,Not applicable,Percent,7.61227,2006,72.6,,Africa
91,Algeria,2013,Male,Not applicable,Percent,7.61227,2002,69.9,,Africa
92,Algeria,2013,All genders,Not applicable,Percent,6.587000000000001,2006,72.6,,Africa
93,Algeria,2013,All genders,Not applicable,Percent,6.587000000000001,2002,69.9,,Africa
94,Algeria,2013,Female,Not applicable,Percent,5.50481,2006,72.6,,Africa
95,Algeria,2013,Female,Not applicable,Percent,5.50481,2002,69.9,,Africa
96,Algeria,2012,Female,Not applicable,Percent,2.32895,2006,72.6,,Africa
97,Algeria,2012,Female,Not applicable,Percent,2.32895,2002,69.9,,Africa
98,Algeria,2012,All genders,Not applicable,Percent,3.7902099999999996,2006,72.6,,Africa
99,Algeria,2012,All genders,Not applicable,Percent,3.7902099999999996,2002,69.9,,Africa
100,Algeria,2012,Male,Not applicable,Percent,5.15132,2006,72.6,,Africa
101,Algeria,2012,Male,Not applicable,Percent,5.15132,2002,69.9,,Africa
102,Algeria,2011,Male,Not applicable,Percent,8.88198,2006,72.6,,Africa
103,Algeria,2011,Male,Not applicable,Percent,8.88198,2002,69.9,,Africa
104,Algeria,2011,All genders,Not applicable,Percent,7.232480000000001,2006,72.6,,Africa
105,Algeria,2011,All genders,Not applicable,Percent,7.232480000000001,2002,69.9,,Africa
106,Algeria,2011,Female,Not applicable,Percent,5.44722,2006,72.6,,Africa
107,Algeria,2011,Female,Not applicable,Percent,5.44722,2002,69.9,,Africa
108,Algeria,2010,Female,Not applicable,Percent,4.86745,2006,72.6,,Africa
109,Algeria,2010,Female,Not applicable,Percent,4.86745,2002,69.9,,Africa
110,Algeria,2010,All genders,Not applicable,Percent,5.44744,2006,72.6,,Africa
111,Algeria,2010,All genders,Not applicable,Percent,5.44744,2002,69.9,,Africa
112,Algeria,2010,Male,Not applicable,Percent,5.98945,2006,72.6,,Africa
113,Algeria,2010,Male,Not applicable,Percent,5.98945,2002,69.9,,Africa
114,Algeria,2009,Male,Not applicable,Percent,6.84484,2006,72.6,,Africa
115,Algeria,2009,Male,Not applicable,Percent,6.84484,2002,69.9,,Africa
116,Algeria,2009,All genders,Not applicable,Percent,4.96103,2006,72.6,,Africa
117,Algeria,2009,All genders,Not applicable,Percent,4.96103,2002,69.9,,Africa
118,Algeria,2009,Female,Not applicable,Percent,2.8955599999999997,2006,72.6,,Africa
119,Algeria,2009,Female,Not applicable,Percent,2.8955599999999997,2002,69.9,,Africa
120,Algeria,2007,Female,Not applicable,Percent,5.3076099999999995,2006,72.6,,Africa
121,Algeria,2007,Female,Not applicable,Percent,5.3076099999999995,2002,69.9,,Africa
122,Algeria,2007,All genders,Not applicable,Percent,7.04767,2006,72.6,,Africa
123,Algeria,2007,All genders,Not applicable,Percent,7.04767,2002,69.9,,Africa
124,Algeria,2007,Male,Not applicable,Percent,8.65652,2006,72.6,,Africa
125,Algeria,2007,Male,Not applicable,Percent,8.65652,2002,69.9,,Africa
126,Algeria,2006,Male,Not applicable,Percent,10.4595,2006,72.6,,Africa
127,Algeria,2006,Male,Not applicable,Percent,10.4595,2002,69.9,,Africa
128,Algeria,2006,All genders,Not applicable,Percent,7.98875,2006,72.6,,Africa
129,Algeria,2006,All genders,Not applicable,Percent,7.98875,2002,69.9,,Africa
130,Algeria,2006,Female,Not applicable,Percent,5.31766,2006,72.6,,Africa
131,Algeria,2006,Female,Not applicable,Percent,5.31766,2002,69.9,,Africa
132,Algeria,2005,Female,Not applicable,Percent,7.82953,2006,72.6,,Africa
133,Algeria,2005,Female,Not applicable,Percent,7.82953,2002,69.9,,Africa
134,Algeria,2005,All genders,Not applicable,Percent,9.08036,2006,72.6,,Africa
135,Algeria,2005,All genders,Not applicable,Percent,9.08036,2002,69.9,,Africa
136,Algeria,2005,Male,Not applicable,Percent,10.23686,2006,72.6,,Africa
137,Algeria,2005,Male,Not applicable,Percent,10.23686,2002,69.9,,Africa
138,Algeria,2004,Male,Not applicable,Percent,8.563889999999999,2006,72.6,,Africa
139,Algeria,2004,Male,Not applicable,Percent,8.563889999999999,2002,69.9,,Africa
140,Algeria,2004,All genders,Not applicable,Percent,6.796869999999999,2006,72.6,,Africa
141,Algeria,2004,All genders,Not applicable,Percent,6.796869999999999,2002,69.9,,Africa
142,Algeria,2004,Female,Not applicable,Percent,4.870340000000001,2006,72.6,,Africa
143,Algeria,2004,Female,Not applicable,Percent,4.870340000000001,2002,69.9,,Africa
144,Algeria,2003,Female,Not applicable,Percent,4.578180000000001,2006,72.6,,Africa
145,Algeria,2003,Female,Not applicable,Percent,4.578180000000001,2002,69.9,,Africa
146,Algeria,2003,All genders,Not applicable,Percent,6.53776,2006,72.6,,Africa
147,Algeria,2003,All genders,Not applicable,Percent,6.53776,2002,69.9,,Africa
148,Algeria,2003,Male,Not applicable,Percent,8.35722,2006,72.6,,Africa
149,Algeria,2003,Male,Not applicable,Percent,8.35722,2002,69.9,,Africa
150,Algeria,2002,Female,Not applicable,Percent,4.431109999999999,2006,72.6,,Africa
151,Algeria,2002,Female,Not applicable,Percent,4.431109999999999,2002,69.9,,Africa
152,Algeria,2002,All genders,Not applicable,Percent,5.48306,2006,72.6,,Africa
153,Algeria,2002,All genders,Not applicable,Percent,5.48306,2002,69.9,,Africa
154,Algeria,2002,Male,Not applicable,Percent,6.45855,2006,72.6,,Africa
155,Algeria,2002,Male,Not applicable,Percent,6.45855,2002,69.9,,Africa
156,Algeria,2001,Male,Not applicable,Percent,8.43237,2006,72.6,,Africa
157,Algeria,2001,Male,Not applicable,Percent,8.43237,2002,69.9,,Africa
158,Algeria,2001,All genders,Not applicable,Percent,6.51526,2006,72.6,,Africa
159,Algeria,2001,All genders,Not applicable,Percent,6.51526,2002,69.9,,Africa
160,Algeria,2001,Female,Not applicable,Percent,4.43312,2006,72.6,,Africa
161,Algeria,2001,Female,Not applicable,Percent,4.43312,2002,69.9,,Africa
162,Algeria,2000,Female,Not applicable,Percent,4.5701,2006,72.6,,Africa
163,Algeria,2000,Female,Not applicable,Percent,4.5701,2002,69.9,,Africa
164,Algeria,2000,All genders,Not applicable,Percent,5.4362699999999995,2006,72.6,,Africa
165,Algeria,2000,All genders,Not applicable,Percent,5.4362699999999995,2002,69.9,,Africa
166,Algeria,2000,Male,Not applicable,Percent,6.24573,2006,72.6,,Africa
167,Algeria,2000,Male,Not applicable,Percent,6.24573,2002,69.9,,Africa
168,Algeria,1999,Male,Not applicable,Percent,10.112969999999999,2006,72.6,,Africa
169,Algeria,1999,Male,Not applicable,Percent,10.112969999999999,2002,69.9,,Africa
170,Algeria,1999,All genders,Not applicable,Percent,8.544189999999999,2006,72.6,,Africa
171,Algeria,1999,All genders,Not applicable,Percent,8.544189999999999,2002,69.9,,Africa
172,Algeria,1999,Female,Not applicable,Percent,6.856,2006,72.6,,Africa
173,Algeria,1999,Female,Not applicable,Percent,6.856,2002,69.9,,Africa
174,Algeria,1998,Female,Not applicable,Percent,7.07223,2006,72.6,,Africa
175,Algeria,1998,Female,Not applicable,Percent,7.07223,2002,69.9,,Africa
176,Algeria,1998,All genders,Not applicable,Percent,7.960539999999999,2006,72.6,,Africa
177,Algeria,1998,All genders,Not applicable,Percent,7.960539999999999,2002,69.9,,Africa
178,Algeria,1998,Male,Not applicable,Percent,8.78222,2006,72.6,,Africa
179,Algeria,1998,Male,Not applicable,Percent,8.78222,2002,69.9,,Africa
180,Algeria,1997,Male,Not applicable,Percent,12.39713,2006,72.6,,Africa
181,Algeria,1997,Male,Not applicable,Percent,12.39713,2002,69.9,,Africa
182,Algeria,1997,All genders,Not applicable,Percent,12.78969,2006,72.6,,Africa
183,Algeria,1997,All genders,Not applicable,Percent,12.78969,2002,69.9,,Africa
184,Algeria,1997,Female,Not applicable,Percent,13.215770000000001,2006,72.6,,Africa
185,Algeria,1997,Female,Not applicable,Percent,13.215770000000001,2002,69.9,,Africa
186,Algeria,1996,Female,Not applicable,Percent,16.77429,2006,72.6,,Africa
187,Algeria,1996,Female,Not applicable,Percent,16.77429,2002,69.9,,Africa
188,Algeria,1996,All genders,Not applicable,Percent,15.24676,2006,72.6,,Africa
189,Algeria,1996,All genders,Not applicable,Percent,15.24676,2002,69.9,,Africa
190,Algeria,1996,Male,Not applicable,Percent,13.85314,2006,72.6,,Africa
191,Algeria,1996,Male,Not applicable,Percent,13.85314,2002,69.9,,Africa
192,Algeria,1995,Male,Not applicable,Percent,14.3025,2006,72.6,,Africa
193,Algeria,1995,Male,Not applicable,Percent,14.3025,2002,69.9,,Africa
194,Algeria,1995,All genders,Not applicable,Percent,16.36324,2006,72.6,,Africa
195,Algeria,1995,All genders,Not applicable,Percent,16.36324,2002,69.9,,Africa
196,Algeria,1995,Female,Not applicable,Percent,18.626179999999998,2006,72.6,,Africa
197,Algeria,1995,Female,Not applicable,Percent,18.626179999999998,2002,69.9,,Africa
198,Algeria,1992,Female,Not applicable,Percent,27.5939,2006,72.6,,Africa
199,Algeria,1992,Female,Not applicable,Percent,27.5939,2002,69.9,,Africa
200,Algeria,1992,All genders,Not applicable,Percent,24.94585,2006,72.6,,Africa
201,Algeria,1992,All genders,Not applicable,Percent,24.94585,2002,69.9,,Africa
202,Algeria,1992,Male,Not applicable,Percent,22.60662,2006,72.6,,Africa
203,Algeria,1992,Male,Not applicable,Percent,22.60662,2002,69.9,,Africa
204,Algeria,1991,Male,Not applicable,Percent,25.19823,2006,72.6,,Africa
205,Algeria,1991,Male,Not applicable,Percent,25.19823,2002,69.9,,Africa
206,Algeria,1991,All genders,Not applicable,Percent,27.187440000000002,2006,72.6,,Africa
207,Algeria,1991,All genders,Not applicable,Percent,27.187440000000002,2002,69.9,,Africa
208,Algeria,1991,Female,Not applicable,Percent,29.47223,2006,72.6,,Africa
209,Algeria,1991,Female,Not applicable,Percent,29.47223,2002,69.9,,Africa
210,Algeria,1990,Female,Not applicable,Percent,28.19152,2006,72.6,,Africa
211,Algeria,1990,Female,Not applicable,Percent,28.19152,2002,69.9,,Africa
212,Algeria,1990,All genders,Not applicable,Percent,24.38576,2006,72.6,,Africa
213,Algeria,1990,All genders,Not applicable,Percent,24.38576,2002,69.9,,Africa
214,Algeria,1990,Male,Not applicable,Percent,21.109289999999998,2006,72.6,,Africa
215,Algeria,1990,Male,Not applicable,Percent,21.109289999999998,2002,69.9,,Africa
216,Algeria,1989,Male,Not applicable,Percent,19.55215,2006,72.6,,Africa
217,Algeria,1989,Male,Not applicable,Percent,19.55215,2002,69.9,,Africa
218,Algeria,1989,All genders,Not applicable,Percent,23.22285,2006,72.6,,Africa
219,Algeria,1989,All genders,Not applicable,Percent,23.22285,2002,69.9,,Africa
220,Algeria,1989,Female,Not applicable,Percent,27.49346,2006,72.6,,Africa
221,Algeria,1989,Female,Not applicable,Percent,27.49346,2002,69.9,,Africa
222,Algeria,1988,Male,Not applicable,Percent,26.12728,2006,72.6,,Africa
223,Algeria,1988,Male,Not applicable,Percent,26.12728,2002,69.9,,Africa
224,Algeria,1988,All genders,Not applicable,Percent,29.2259,2006,72.6,,Africa
225,Algeria,1988,All genders,Not applicable,Percent,29.2259,2002,69.9,,Africa
226,Algeria,1988,Female,Not applicable,Percent,32.89523,2006,72.6,,Africa
227,Algeria,1988,Female,Not applicable,Percent,32.89523,2002,69.9,,Africa
228,Algeria,1987,Female,Not applicable,Percent,35.031620000000004,2006,72.6,,Africa
229,Algeria,1987,Female,Not applicable,Percent,35.031620000000004,2002,69.9,,Africa
230,Algeria,1987,All genders,Not applicable,Percent,31.2021,2006,72.6,,Africa
231,Algeria,1987,All genders,Not applicable,Percent,31.2021,2002,69.9,,Africa
232,Algeria,1987,Male,Not applicable,Percent,27.985490000000002,2006,72.6,,Africa
233,Algeria,1987,Male,Not applicable,Percent,27.985490000000002,2002,69.9,,Africa
234,Algeria,1986,Male,Not applicable,Percent,27.76752,2006,72.6,,Africa
235,Algeria,1986,Male,Not applicable,Percent,27.76752,2002,69.9,,Africa
236,Algeria,1986,All genders,Not applicable,Percent,31.6208,2006,72.6,,Africa
237,Algeria,1986,All genders,Not applicable,Percent,31.6208,2002,69.9,,Africa
238,Algeria,1986,Female,Not applicable,Percent,36.24009,2006,72.6,,Africa
239,Algeria,1986,Female,Not applicable,Percent,36.24009,2002,69.9,,Africa
240,Algeria,1982,Female,Not applicable,Percent,35.45605,2006,72.6,,Africa
241,Algeria,1982,Female,Not applicable,Percent,35.45605,2002,69.9,,Africa
242,Algeria,1982,All genders,Not applicable,Percent,32.04739,2006,72.6,,Africa
243,Algeria,1982,All genders,Not applicable,Percent,32.04739,2002,69.9,,Africa
244,Algeria,1982,Male,Not applicable,Percent,29.368709999999997,2006,72.6,,Africa
245,Algeria,1982,Male,Not applicable,Percent,29.368709999999997,2002,69.9,,Africa
246,Algeria,1981,Male,Not applicable,Percent,29.2228,2006,72.6,,Africa
247,Algeria,1981,Male,Not applicable,Percent,29.2228,2002,69.9,,Africa
248,Algeria,1981,All genders,Not applicable,Percent,33.59686,2006,72.6,,Africa
249,Algeria,1981,All genders,Not applicable,Percent,33.59686,2002,69.9,,Africa
250,Algeria,1981,Female,Not applicable,Percent,39.24664,2006,72.6,,Africa
251,Algeria,1981,Female,Not applicable,Percent,39.24664,2002,69.9,,Africa
252,Algeria,1980,Female,Not applicable,Percent,43.43275,2006,72.6,,Africa
253,Algeria,1980,Female,Not applicable,Percent,43.43275,2002,69.9,,Africa
254,Algeria,1980,All genders,Not applicable,Percent,39.081720000000004,2006,72.6,,Africa
255,Algeria,1980,All genders,Not applicable,Percent,39.081720000000004,2002,69.9,,Africa
256,Algeria,1980,Male,Not applicable,Percent,35.73749,2006,72.6,,Africa
257,Algeria,1980,Male,Not applicable,Percent,35.73749,2002,69.9,,Africa
258,Algeria,1979,Male,Not applicable,Percent,34.70393,2006,72.6,,Africa
259,Algeria,1979,Male,Not applicable,Percent,34.70393,2002,69.9,,Africa
260,Algeria,1979,All genders,Not applicable,Percent,38.657709999999994,2006,72.6,,Africa
261,Algeria,1979,All genders,Not applicable,Percent,38.657709999999994,2002,69.9,,Africa
262,Algeria,1979,Female,Not applicable,Percent,43.91199,2006,72.6,,Africa
263,Algeria,1979,Female,Not applicable,Percent,43.91199,2002,69.9,,Africa
264,Algeria,1978,Female,Not applicable,Percent,45.162009999999995,2006,72.6,,Africa
265,Algeria,1978,Female,Not applicable,Percent,45.162009999999995,2002,69.9,,Africa
266,Algeria,1978,All genders,Not applicable,Percent,38.53884,2006,72.6,,Africa
267,Algeria,1978,All genders,Not applicable,Percent,38.53884,2002,69.9,,Africa
268,Algeria,1978,Male,Not applicable,Percent,33.48675,2006,72.6,,Africa
269,Algeria,1978,Male,Not applicable,Percent,33.48675,2002,69.9,,Africa
270,Algeria,1977,Male,Not applicable,Percent,37.67453,2006,72.6,,Africa
271,Algeria,1977,Male,Not applicable,Percent,37.67453,2002,69.9,,Africa
272,Algeria,1977,All genders,Not applicable,Percent,42.42844,2006,72.6,,Africa
273,Algeria,1977,All genders,Not applicable,Percent,42.42844,2002,69.9,,Africa
274,Algeria,1977,Female,Not applicable,Percent,48.7331,2006,72.6,,Africa
275,Algeria,1977,Female,Not applicable,Percent,48.7331,2002,69.9,,Africa
276,Algeria,1976,Female,Not applicable,Percent,50.225770000000004,2006,72.6,,Africa
277,Algeria,1976,Female,Not applicable,Percent,50.225770000000004,2002,69.9,,Africa
278,Algeria,1976,All genders,Not applicable,Percent,43.72931,2006,72.6,,Africa
279,Algeria,1976,All genders,Not applicable,Percent,43.72931,2002,69.9,,Africa
280,Algeria,1976,Male,Not applicable,Percent,38.93053,2006,72.6,,Africa
281,Algeria,1976,Male,Not applicable,Percent,38.93053,2002,69.9,,Africa
282,Algeria,1975,Male,Not applicable,Percent,40.8539,2006,72.6,,Africa
283,Algeria,1975,Male,Not applicable,Percent,40.8539,2002,69.9,,Africa
284,Algeria,1975,Female,Not applicable,Percent,52.586009999999995,2006,72.6,,Africa
285,Algeria,1975,Female,Not applicable,Percent,52.586009999999995,2002,69.9,,Africa
286,Algeria,1975,All genders,Not applicable,Percent,45.7876,2006,72.6,,Africa
287,Algeria,1975,All genders,Not applicable,Percent,45.7876,2002,69.9,,Africa
288,Angola,2009,Male,Not applicable,Percent,63.44973,2011,70.4,,Africa
289,Angola,2009,Male,Not applicable,Percent,63.44973,2010,70.1,,Africa
290,Angola,2009,Male,Not applicable,Percent,63.44973,2001,67.4,,Africa
291,Angola,2009,All genders,Not applicable,Percent,68.12715,2011,70.4,,Africa
292,Angola,2009,All genders,Not applicable,Percent,68.12715,2010,70.1,,Africa
293,Angola,2009,All genders,Not applicable,Percent,68.12715,2001,67.4,,Africa
294,Angola,2009,Female,Not applicable,Percent,73.13615,2011,70.4,,Africa
295,Angola,2009,Female,Not applicable,Percent,73.13615,2010,70.1,,Africa
296,Angola,2009,Female,Not applicable,Percent,73.13615,2001,67.4,,Africa
297,Angola,2008,Female,Not applicable,Percent,74.26942,2011,70.4,,Africa
298,Angola,2008,Female,Not applicable,Percent,74.26942,2010,70.1,,Africa
299,Angola,2008,Female,Not applicable,Percent,74.26942,2001,67.4,,Africa
300,Angola,2008,All genders,Not applicable,Percent,72.40958,2011,70.4,,Africa
301,Angola,2008,All genders,Not applicable,Percent,72.40958,2010,70.1,,Africa
302,Angola,2008,All genders,Not applicable,Percent,72.40958,2001,67.4,,Africa
303,Angola,2008,Male,Not applicable,Percent,70.79191,2011,70.4,,Africa
304,Angola,2008,Male,Not applicable,Percent,70.79191,2010,70.1,,Africa
305,Angola,2008,Male,Not applicable,Percent,70.79191,2001,67.4,,Africa
306,Angola,1991,All genders,Not applicable,Percent,53.7462,2011,70.4,,Africa
307,Angola,1991,All genders,Not applicable,Percent,53.7462,2010,70.1,,Africa
308,Angola,1991,All genders,Not applicable,Percent,53.7462,2001,67.4,,Africa
309,Angola,1982,All genders,Not applicable,Percent,72.15191999999999,2011,70.4,,Africa
310,Angola,1982,All genders,Not applicable,Percent,72.15191999999999,2010,70.1,,Africa
311,Angola,1982,All genders,Not applicable,Percent,72.15191999999999,2001,67.4,,Africa
312,Angola,1981,All genders,Not applicable,Percent,71.63478,2011,70.4,,Africa
313,Angola,1981,All genders,Not applicable,Percent,71.63478,2010,70.1,,Africa
314,Angola,1981,All genders,Not applicable,Percent,71.63478,2001,67.4,,Africa
315,Antigua and Barbuda,2007,All genders,Not applicable,Percent,8.67793,2011,99.0,1.0,North America
316,Antigua and Barbuda,2007,All genders,Not applicable,Percent,8.67793,2010,99.0,,North America
317,Antigua and Barbuda,2007,All genders,Not applicable,Percent,8.67793,2001,99.0,,North America
318,Argentina,2012,Male,Not applicable,Percent,6.46168,2011,97.9,,South America
319,Argentina,2012,Male,Not applicable,Percent,6.46168,2010,97.8,,South America
320,Argentina,2012,Male,Not applicable,Percent,6.46168,2001,97.2,,South America
321,Argentina,2012,Male,Not applicable,Percent,6.46168,1991,96.1,,South America
322,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2011,97.9,,South America
323,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2010,97.8,,South America
324,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,2001,97.2,,South America
325,Argentina,2012,All genders,Not applicable,Percent,5.4320699999999995,1991,96.1,,South America
326,Argentina,2012,Female,Not applicable,Percent,4.35671,2011,97.9,,South America
327,Argentina,2012,Female,Not applicable,Percent,4.35671,2010,97.8,,South America
328,Argentina,2012,Female,Not applicable,Percent,4.35671,2001,97.2,,South America
329,Argentina,2012,Female,Not applicable,Percent,4.35671,1991,96.1,,South America
330,Argentina,2011,Female,Not applicable,Percent,1.98785,2011,97.9,,South America
331,Argentina,2011,Female,Not applicable,Percent,1.98785,2010,97.8,,South America
332,Argentina,2011,Female,Not applicable,Percent,1.98785,2001,97.2,,South America
333,Argentina,2011,Female,Not applicable,Percent,1.98785,1991,96.1,,South America
334,Argentina,2011,All genders,Not applicable,Percent,2.90276,2011,97.9,,South America
335,Argentina,2011,All genders,Not applicable,Percent,2.90276,2010,97.8,,South America
336,Argentina,2011,All genders,Not applicable,Percent,2.90276,2001,97.2,,South America
337,Argentina,2011,All genders,Not applicable,Percent,2.90276,1991,96.1,,South America
338,Argentina,2011,Male,Not applicable,Percent,3.78609,2011,97.9,,South America
