1) Demo,ProxyID,Fed7Race,StudentHomeLanguage,Grade,SchoolNumber,SchoolName,BilingualServed,BilingualEligible,Gender,SpecialEducation,pgy,egy,EnrollmentCodeDescription,WithdrawDate,GraduateDate,DropoutDate
1) Demo,3118786,Multi-Race,English,1,249,Madrona K-8 School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3120780,Black,Somali,4,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3123751,Hispanic,Spanish,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3126411,Caucasian,English,10,715,Interagency at KC Youth Service,N,N,Male,Y,2016,2016,Unknown,,,20140428
1) Demo,3129780,Black,Somali,3,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3131751,Caucasian,English,1,244,Leschi Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3137757,Black,French,1,212,Thurgood Marshall Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3138745,Black,Somali,7,117,Washington Middle School,Y,Y,Male,Y,,,Unknown,,,20140620
1) Demo,3140411,Caucasian,English,10,715,Interagency at KC Youth Service,N,N,Male,Y,2016,2016,Unknown,,,20140310
1) Demo,3142418,Caucasian,English,7,945,Cascade Parent Partnership,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3144745,Black,Somali,2,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3145714,Multi-Race,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3155750,Black,Somali,1,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3156745,Black,Somali,3,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3157411,Black,Amharic,9,983,Seattle World School,Y,Y,Male,ã,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3159754,Black,Tigrinya (Tigrigna),5,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3163786,Black,English,9,715,Interagency at KC Youth Service,N,N,Male,Y,2016,2016,Unknown,,,20140513
1) Demo,3167412,Pac Island,English,K,226,Bailey Gatzert Elementary,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3168417,Hispanic,English,K,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3172418,Black,English,9,14,Garfield High School,N,N,Female,ã,2017,2017,Currently Enrolled/Attending,,,
1) Demo,3172742,Black,English,5,245,Lowell Elementary,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3172795,Caucasian,English,K,205,Beacon Hill International School,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3174742,Black,English,2,245,Lowell Elementary,N,N,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3175418,Black,English,4,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Confirmed transfer out of the school within district,,,
1) Demo,3178418,Black,English,8,115,Whitman Middle School,N,N,Male,N,2018,2018,Currently Enrolled/Attending,,,
1) Demo,3180748,Black,Somali,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3182758,Caucasian,French,1,244,Leschi Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3183733,Multi-Race,Lao,K,249,Madrona K-8 School,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3185715,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3195417,Caucasian,English,4,245,Lowell Elementary,N,N,Male,Y,,,Unknown,,,20140620
1) Demo,3199746,Black,Swahili,3,226,Bailey Gatzert Elementary,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3200412,Black,English,5,249,Madrona K-8 School,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3205411,Black,English,4,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3205749,Caucasian,English,3,256,John Muir Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3219793,Black,Arabic,2,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3223749,Black,Tigrinya (Tigrigna),7,117,Washington Middle School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3224749,Black,Tigrinya (Tigrigna),11,14,Garfield High School,N,N,Female,N,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3225731,Caucasian,English,11,356,Interagency Academy,N,N,Male,N,2015,2015,Confirmed transfer out of the school district,,,
1) Demo,3226755,Asian,Toishanese,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3230788,Asian,Cantonese,10,14,Garfield High School,Y,Y,Female,N,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3231738,Asian,Vietnamese,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3244718,Black,Somali,4,244,Leschi Elementary,Y,Y,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3249411,Hispanic,English,10,14,Garfield High School,N,N,Female,ã,2016,2016,No Show.  Last SPS school attended was not this school.,,,
1) Demo,3255412,Black,English,K,249,Madrona K-8 School,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3257412,Black,English,6,249,Madrona K-8 School,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3259412,Multi-Race,English,K,249,Madrona K-8 School,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3262783,Black,Somali,2,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3263412,Multi-Race,English,1,249,Madrona K-8 School,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3270411,Caucasian,English,12,14,Garfield High School,N,N,Female,ã,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3270412,Black,English,5,226,Bailey Gatzert Elementary,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3271732,Asian,Mandarin,K,935,TOPS K-8 School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3281712,Asian,Vietnamese,2,218,B.F. Day Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3284741,Multi-Race,English,5,226,Bailey Gatzert Elementary,N,N,Male,N,,,Confirmed transfer out of the school district,,,
1) Demo,3285781,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3286419,Black,Oromo (Ethiopia),K,226,Bailey Gatzert Elementary,Y,Y,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3288411,Caucasian,English,10,356,Interagency Academy,N,N,Male,ã,2016,2016,Confirmed transfer out of the school district,,,
1) Demo,3288412,Black,English,1,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3289746,Black,Oromo (Ethiopia),K,212,Thurgood Marshall Elementary,Y,Y,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3290411,Black,English,11,14,Garfield High School,N,N,Female,ã,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3291749,Asian,Vietnamese,8,291,South Shore K-8 School,N,N,Female,N,2018,2018,Currently Enrolled/Attending,,,
1) Demo,3291781,Caucasian,English,10,14,Garfield High School,N,N,Female,N,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3294741,Multi-Race,English,7,117,Washington Middle School,N,N,Male,Y,,,Unknown,,,20140312
1) Demo,3294756,Multi-Race,English,9,17,Roosevelt High School,N,N,Female,N,2017,2017,Confirmed transfer out of the school district,,,
1) Demo,3295780,Asian,Cambodian,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3295781,Black,Nuer,1,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3300733,Multi-Race,English,K,245,Lowell Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3303418,Caucasian,English,11,358,Interagency Academy,N,N,Male,ã,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3304795,Multi-Race,German,K,255,Montlake Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3308780,Black,English,K,242,Laurelhurst Elementary,N,N,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3310790,Black,Somali,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3315739,Asian,Cantonese,K,935,TOPS K-8 School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3320788,Black,French,12,14,Garfield High School,N,N,Male,N,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3323790,Hispanic,Spanish,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3326788,Black,French,4,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3326795,Caucasian,Khmer,K,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3327788,Hispanic,English,10,14,Garfield High School,N,N,Male,N,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3329419,Caucasian,English,11,23,Nova High School,N,N,Female,ã,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3329758,Caucasian,English,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3330782,Multi-Race,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3331735,Asian,English,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3336417,Caucasian,English,12,715,Interagency at KC Youth Service,N,N,Male,Y,2015,2015,Unknown,,,20140618
1) Demo,3337782,Multi-Race,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3338782,Multi-Race,English,4,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3339413,Multi-Race,English,K,935,TOPS K-8 School,N,N,Male,ã,,,No Show.  Last SPS school attended was not this school.,,,
1) Demo,3343419,Hispanic,Spanish,2,226,Bailey Gatzert Elementary,Y,Y,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3344793,Black,English,9,715,Interagency at KC Youth Service,N,N,Male,N,2016,2016,Unknown,,,20140227
1) Demo,3345790,Black,Amharic,K,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3346780,Caucasian,English,1,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3352758,Caucasian,English,1,244,Leschi Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3358417,Black,English,7,117,Washington Middle School,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3362713,Asian,English,2,248,McGilvra Elementary,N,N,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3363412,Black,English,K,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3364418,Asian,English,12,353,Interagency Academy,N,N,Male,ã,2014,2014,Attended 4 years or more and did not graduate (student drops or ages out) ,,,
1) Demo,3365796,Black,English,10,14,Garfield High School,N,N,Male,Y,2016,2019,Currently Enrolled/Attending,,,
1) Demo,3368742,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3377413,Asian,Cantonese,K,935,TOPS K-8 School,Y,Y,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3378739,Black,English,K,244,Leschi Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3382413,Black,English,K,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3383413,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3384752,Asian,Vietnamese,1,288,Kimball Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3386730,Black,Somali,K,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3387411,Caucasian,English,4,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3387413,Asian,English,9,349,Interagency Academy,N,N,Male,ã,2017,2017,Unknown,,,20140618
1) Demo,3389413,Black,English,1,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3389751,Caucasian,English,1,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3394785,Hispanic,English,7,117,Washington Middle School,N,N,Female,N,,,Confirmed transfer out of the school district,,,
1) Demo,3401786,Black,Tigrinya (Tigrigna),7,117,Washington Middle School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3406739,Asian,Indonesian,K,244,Leschi Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3407732,Caucasian,English,K,244,Leschi Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3415418,Black,English,12,353,Interagency Academy,N,N,Male,ã,2014,2014,Confirmed transfer out of the school district,,,
1) Demo,3420796,Asian,Toishanese,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3422796,Asian,Cantonese,K,935,TOPS K-8 School,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3424419,Asian,Vietnamese,9,983,Seattle World School,Y,Y,Female,ã,2013,2013,Currently Enrolled/Attending,,,
1) Demo,3426712,Asian,English,2,255,Montlake Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3426747,Multi-Race,Chin,1,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3426796,Asian,Toishanese,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3427714,Asian,Cantonese,3,212,Thurgood Marshall Elementary,Y,Y,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3428796,Asian,Cantonese,K,935,TOPS K-8 School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3429749,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3434742,Asian,Tagalog,5,244,Leschi Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3436750,Hispanic,Spanish,4,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3437712,Black,Somali,12,21,Rainier Beach High School,Y,Y,Female,N,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3437733,Multi-Race,Samoan,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3440786,Black,English,2,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3441795,Black,Tigrinya (Tigrigna),K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3442742,Black,Oromo (Ethiopia),11,21,Rainier Beach High School,Y,Y,Female,N,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3443796,Asian,Cantonese,K,245,Lowell Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3444742,Black,English,6,117,Washington Middle School,N,N,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3444796,Asian,Cantonese,K,204,Daniel Bagley Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3448419,Black,English,11,14,Garfield High School,N,N,Female,ã,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3448796,Asian,Cantonese,K,245,Lowell Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3449796,Asian,Cantonese,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3452786,Caucasian,English,12,14,Garfield High School,N,N,Male,N,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3458757,Black,Somali,1,212,Thurgood Marshall Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3459417,Multi-Race,English,K,226,Bailey Gatzert Elementary,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3462783,Asian,Toishanese,11,14,Garfield High School,Y,Y,Female,N,2015,2015,Currently Enrolled/Attending,,,
1) Demo,3462796,Asian,Mandarin,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3463788,Multi-Race,English,1,249,Madrona K-8 School,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3464734,Asian,Tagalog,1,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3464737,Black,Somali,K,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3464749,Black,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3468413,Black,Amharic,4,276,Viewlands Elementary,Y,Y,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3472719,Hispanic,English,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3474795,Caucasian,English,K,244,Leschi Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3479715,Black,English,2,244,Leschi Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3482715,Black,Oromo (Ethiopia),2,249,Madrona K-8 School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3485418,Black,Amharic,2,233,Hawthorne Elementary,Y,Y,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3489742,Black,English,2,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3490793,Black,English,6,117,Washington Middle School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3491411,Hispanic,English,12,353,Interagency Academy,N,N,Male,ã,2014,2014,Confirmed transfer out of the school district,,,
1) Demo,3492419,Black,English,K,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3494752,Caucasian,English,2,272,Stevens Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3494789,Asian,Vietnamese,1,251,Dearborn Park International School,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3498793,Black,English,6,117,Washington Middle School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3501417,Caucasian,English,8,117,Washington Middle School,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3501780,Black,English,6,117,Washington Middle School,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3502417,Caucasian,English,6,117,Washington Middle School,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3502780,Black,English,4,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3504417,Caucasian,English,2,226,Bailey Gatzert Elementary,N,N,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3514749,Black,English,12,14,Garfield High School,N,N,Male,N,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3522790,Multi-Race,English,K,935,TOPS K-8 School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3523746,Caucasian,English,8,117,Washington Middle School,N,N,Female,N,,,Unknown,,,20140528
1) Demo,3525413,Hispanic,English,4,226,Bailey Gatzert Elementary,N,N,Female,Y,,,Confirmed transfer out of the school district,,,
1) Demo,3533758,Caucasian,English,1,255,Montlake Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3537747,Caucasian,English,12,353,Interagency Academy,N,N,Male,N,2012,2011,Confirmed transfer out of the school district,,,
1) Demo,3538417,Caucasian,English,5,226,Bailey Gatzert Elementary,N,N,Female,ã,,,Unknown,,,20140620
1) Demo,3540417,Caucasian,English,10,23,Nova High School,N,N,Female,ã,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3541413,Black,Amharic,9,14,Garfield High School,Y,Y,Male,ã,2017,2017,Currently Enrolled/Attending,,,
1) Demo,3541796,Black,English,K,272,Stevens Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3543413,Black,Amharic,12,14,Garfield High School,Y,Y,Female,ã,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3544413,Black,Amharic,7,117,Washington Middle School,Y,Y,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3544792,Black,Somali,1,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3545789,Caucasian,English,10,14,Garfield High School,N,N,Female,N,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3548758,Black,Somali,1,251,Dearborn Park International School,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3551411,Black,English,9,715,Interagency at KC Youth Service,N,N,Male,ã,2017,2017,Unknown,,,20140507
1) Demo,3552411,Caucasian,Spanish,1,226,Bailey Gatzert Elementary,Y,Y,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3553411,Caucasian,Spanish,6,117,Washington Middle School,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3554411,Caucasian,Spanish,8,117,Washington Middle School,N,N,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3563742,Caucasian,English,2,225,Gatewood Elementary,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3580749,Multi-Race,English,4,249,Madrona K-8 School,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3581757,Black,Amharic,1,245,Lowell Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3581795,Black,English,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3582788,Black,French,1,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
